71.0,polite,[]
94.0,polite,[]
198.0,rude,['blbeÄky']
200.0,polite,[]
232.0,polite,[]
245.0,polite,[]
261.0,,
275.0,polite,[]
279.0,polite,[]
261.0,polite,[]
317.0,polite,[]
320.0,polite,[]
347.0,polite,[]
367.0,polite,[]
368.0,polite,[]
427.0,polite,[]
435.0,polite,[]
439.0,polite,[]
448.0,polite,[]
452.0,polite,[]
479.0,polite,[]
504.0,polite,[]
546.0,polite,[]
564.0,,
615.0,polite,[]
616.0,,
619.0,,
644.0,polite,[]
663.0,,
666.0,,
673.0,polite,[]
683.0,,
684.0,polite,[]
739.0,,
740.0,,
749.0,polite,[]
752.0,,
763.0,,
801.0,polite,[]
