Název;Čtvrť;Město;Charakter;Hodnocení
[mju:z];Centrum;Brno;restaurace;
A3 pivnice;Bystrc;Brno;pivnice;
A3 pizzeria;Bystrc;Brno;pizzerie;
ABSOLUT COCTAIL BAR;Centrum;Brno;bar;
Adria - snackbar;Centrum;Brno;restaurace;
Africana restaurant;Střed;Brno;restaurace;
Aida;Brno;Brno;kavárna;
Air cafe;Střed;Brno;kavárna;
Akademická vinotéka;Černá pole;Brno;vinárna;
Al Capone PUB;Veveří;Brno;bar;0
Alchymista;Střed;Brno;restaurace;
ALIMENTARI ITALIA;Střed;Brno;bistro;
Aloha;Centrum;Brno;bar;
AMBRA;Žabovřesky;Brno;pivnice;
Amfora;Husovice;Brno;vinárna;0
Amici Delivery & Bistro;Královo Pole;Brno;bistro;0
Amsterdam Grill Bar;Centrum;Brno;restaurace;
ANDĚL cafe & bar;Centrum;Brno;kavárna;
Annapurna;Střed;Brno;restaurace;0
Apollo;Maloměřice;Brno;restaurace;
ARKA Restaurant;Jundrov;Brno;restaurace;
Armen Fast food;Královo Pole;Brno;bistro;
Astorka;Střed města;Brno;restaurace;0
Atrium - pivní bar;Střed;Brno;restaurace;
Avanti hotel;Střed města;Brno;restaurace;
AVATÁR vegetariánská restaurace;Střed;Brno;restaurace;
Avia Cafe Restaurant;Centrum;Brno;kavárna;
Aviatik;Střed;Brno;restaurace;
Bageterie Boulevard;Centrum;Brno;bufet;
Bar který neexistuje;Střed;Brno;bar;
Bar restaurant Gourmand;Střed;Brno;restaurace;0
Bar U Leona;Brno;Brno;restaurace;
Barka;Nový Lískovec;Brno;restaurace;
Baroko;Střed;Brno;restaurace;
Barracuda;Královo Pole;Brno;restaurace;
Bavorská Restaurace;Královo Pole;Brno;restaurace;
Besední dům;Střed;Brno;restaurace;
BETA samoobslužná jídelna;Centrum;Brno;restaurace;0
BIBUS Café Restaurant;Přízřenice;Brno;restaurace;
Bílkova restaurace;Slatina;Brno;restaurace;
Billy bar;Pisárky;Brno;bar;
Biskupská vinárna;Střed;Brno;vinárna;
Bistro Franz;Veveří;Brno;bistro;
Bistro OCEAN 48;Královo Pole;Brno;bistro;
bistro pana Thuana Nguyena Vana;Slatina;Brno;bistro;
Bistro Pilát;Centrum;Brno;bistro;
Bistro soul;Střed města;Brno;bistro;
Bistro Toto;Centrum;Brno;bistro;0
Bohéma;Brno;Brno;restaurace;
Borgo Agnese;Střed;Brno;restaurace;
Borneo Restaurant;Židenice;Brno;restaurace;
BOULEVARD restaurant;Centrum;Brno;restaurace;
Bowling stodola;Komín;Brno;restaurace;
Brabander Restaurant;Střed;Brno;restaurace;
Brick Pub restaurant;Žabovřesky;Brno;restaurace;
Brňák bar;Střed;Brno;bar;
brněnský Šenk;Střed;Brno;restaurace;
Buddha restaurant;Střed města;Brno;restaurace;
Bugatti Restaurant;Černá pole;Brno;restaurace;
Butcher's restaurant;Královo Pole;Brno;restaurace;
Café 04;Centrum;Brno;restaurace;
Café 99;Střed;Brno;kavárna;
Café Art;Centrum;Brno;kavárna;
CAFE BLAU;Střed;Brno;kavárna;
Café Brussel;Střed;Brno;kavárna;
Café encounter;Střed;Brno;kavárna;
Café Falk;Centrum;Brno;kavárna;
café magnifique;Střed;Brno;kavárna;
Café Maia;Centrum;Brno;kavárna;0
Café Momenta;Brno;Brno;kavárna;
Cafe Placzek;Střed města;Brno;kavárna;
Café PRÁH;Centrum;Brno;kavárna;
CAFÉ RUDOLF;Královo Pole;Brno;restaurace;
Café Society;Centrum;Brno;kavárna;0
CAFÉ STEINER;Střed;Brno;kavárna;
Café TeeVee;Střed města;Brno;kavárna;0
Cafe Vala;Bystrc;Brno;kavárna;0
Caffe Bar B2;Centrum;Brno;kavárna;
Caffé del Saggio;Střed;Brno;kavárna;
Caffé Fratelli;Centrum;Brno;kavárna;
Caffe Quattro;Brno;Brno;kavárna;
Caffé Tripoli;Střed;Brno;kavárna;
Caffé Vergnano;Střed;Brno;kavárna;
caffetterie TOP SHOP;Brno;Brno;kavárna;
Camel restaurant;Královo Pole;Brno;restaurace;
Campea;Bohunice;Brno;restaurace;
Campus River;Starý Lískovec;Brno;restaurace;
Carpe Diem;Střed města;Brno;restaurace;
Castellana bistro;Juliánov;Brno;bistro;
Castellana Trattoria;Střed;Brno;restaurace;
CAT CAFE;Černá pole;Brno;kavárna;
Cat Cafe;Černá pole;Brno;restaurace;0
Cattani;Střed;Brno;bistro;
Cejl 21 - obchod s čajem kávou a vinotéka;Střed;Brno;vinárna;0
Central Restaurant;Střed města;Brno;restaurace;
Cihelna;Královo Pole;Brno;restaurace;
Cinema Caffe;Modřice;Brno;kavárna;0
Coffee Club cafeteria;Medlánky;Brno;kavárna;0
Coffee Fusion;Centrum;Brno;kavárna;
Cohiba Club Conti;Střed;Brno;bar;
Cola Transport;Tuřany;Brno;restaurace;
Comodo;Královo Pole;Brno;restaurace;
Consorzio Punto Italia Emozioni;Centrum;Brno;bar;0
Conti Club;Střed;Brno;bar;
Continental Hotel;Veveří;Brno;restaurace;
Corner;Černá pole;Brno;restaurace;
Cosmopolis Caffé;Střed;Brno;kavárna;
country saloon;Bystrc;Brno;restaurace;
countrybar;Kuřim;Kuřim;restaurace;
Cukrárna Kolbaba;Centrum;Brno;kavárna;
Curry bar;Centrum;Brno;bar;
čajovna Bagdad;Černá pole;Brno;čajovna;0
Čajovna Starý Dvůr;Střed;Brno;čajovna;
"čajový bar "" PROBUZENÝ SLON """;Střed;Brno;čajovna;
Černohorský sklep;Centrum;Brno;restaurace;
Černý Medvěd;Střed;Brno;restaurace;
Čínská restaurace MANDARIN;Střed;Brno;restaurace;
Čokoládovna MINACH;Centrum;Brno;kavárna;
Čtyři růže, pivní šenk;Střed;Brno;restaurace;
Da Vinci Restaurant;Střed;Brno;restaurace;
Dávné časy;Střed;Brno;restaurace;
D-Café;Střed;Brno;kavárna;
Deja vu;Královo pole;Brno;restaurace;
Divadelní restaurace Nekonečno;Střed;Brno;restaurace;
Dobrá čajovna Brno;Střed;Brno;čajovna;
Dobrá škola;Vojkovice;Vojkovice;restaurace;
Domácí pivovar a restaurace Magistr;Královo Pole;Brno;restaurace;
Don Miguel's;Královo Pole;Brno;restaurace;
Don Pintxos;Střed města;Brno;bar;
Double Decker;Střed;Brno;bistro;0
Draken;Brno;Brno;bar;
Drakkar;Střed;Brno;pivnice;0
Druhý dech;Ivanovice;Brno;restaurace;
Dřevěná růže;Černá pole;Brno;restaurace;
Duck bar, Kamenka;Brno;Brno;bar;
East Village Bar & Diner;Střed;Brno;restaurace;
Ebisu;Veveří;Brno;bistro;
Eiscafe Delikana;Centrum;Brno;kavárna;
Ekvádor;Zábrdovice;Brno;restaurace;
El Greco;Střed;Brno;restaurace;
Eldorádo;Líšeň;Brno;restaurace;
Elektra pub;Střed;Brno;bar;
Eliot - Restaurace, penzion;Žebětín;Brno;restaurace;
Empire Josefská;Centrum;Brno;restaurace;
Empire Svoboďák;Střed;Brno;restaurace;
En Elladi;Střed;Brno;restaurace;
Espaňola;Veveří;Brno;restaurace;
Everest Indian Restaurant;Střed;Brno;restaurace;
Everest Indian Restaurant;Centrum;Brno;restaurace;
Faircafé;Staré Brno;Brno;restaurace;
Farma;Černá pole;Brno;restaurace;
Fausto Coppi / Faust Burger Pub;Střed;Brno;restaurace;
Fénix;Střed;Brno;restaurace;0
Fino-club;Modřice;Brno;restaurace;
Fish Restaurant Rybářská bašta;Bystrc;Brno;restaurace;
Fisherman's Yacht;Centrum;Brno;restaurace;
Fischer Cafe & Restaurant;Střed;Brno;restaurace;
FLAVOURS Indian;Centrum;Brno;restaurace;0
FORHAUS coffee & restaurant;Střed;Brno;restaurace;
FORMAN Beef & Beer;Centrum;Brno;restaurace;
FORRUM Café-Bar;Královo Pole;Brno;bar;
Freeland-club;Střed;Brno;restaurace;
Friends Bistro;Střed;Brno;bistro;0
Galaxie;Modřice;Brno;pizzerie;
GALERIE CAFFE;Střed;Brno;kavárna;0
Galeryje;Střed;Brno;kavárna;
Gallo Nero;Lesná;Brno;bistro;
Gambrinus 1869 Originál;Líšeň;Brno;restaurace;
Garden Restaurant;Královo Pole;Brno;restaurace;
Gelati Eis Caffé (Brno);Centrum;Brno;kavárna;
Gimmi Lounge Cafe;Královo Pole;Brno;kavárna;
Gingilla;Střed;Brno;restaurace;
Giraffy fresh food;Maloměřice;Brno;restaurace;
Glamour restaurant;Centrum;Brno;restaurace;
Gloria Jean's Coffees;Modřice;Brno;kavárna;0
GO;Střed města;Brno;bistro;
Golfový resort - restaurace KASKÁDA;Jinačovice;Jinačovice;restaurace;
Good Bar;Střed;Brno;bar;
GREEK RESTAURANT TAVERNA;Královo Pole;Brno;bistro;
Green restaurace;Komín;Brno;restaurace;
Grill bar Gurmet OREA Hotelu Voroněž;Pisárky;Brno;restaurace;0
Grill bar U Kalvodů;Střed;Brno;pizzerie;
Grill House;Žabovřesky;Brno;restaurace;
Gyropolis, s.r.o.;Slatina;Brno;restaurace;
H3 restaurant;Královo Pole;Brno;restaurace;
HACIENDA MEXICANA;Královo Pole;Brno;restaurace;
Harmonie;Břeclav;Břeclav;restaurace;
Havana;Líšeň;Brno;restaurace;
HB restaurace;Královo Pole;Brno;restaurace;
Henri Panoptikum;Centrum;Brno;restaurace;0
Himalaya;Královo Pole;Brno;restaurace;
Hodoválek Czech Restaurant;Centrum;Brno;restaurace;0
Holiday;Komín;Brno;restaurace;
Hospoda Na konečné Obřany;Maloměřice;Brno;pivnice;
Hospůdka na roli.;Královo Pole;Brno;restaurace;
Hospůdka v podhradí;Střed;Brno;restaurace;
Hospůdka za divadlem;Střed;Brno;restaurace;
Hostinec Slunečnice;Černovice;Brno;restaurace;
Hostinec Tuřanská Beseda;Tuřany;Brno;restaurace;
Hostinec U Bláhovky;Střed;Brno;pivnice;
Hostinec u Čadíků - Na Šmelcovně;Domašov;Domašov;restaurace;
Hostinec U Dřeváka;Střed;Brno;restaurace;
Hostinec U Semináru;Střed;Brno;restaurace;
Hostinec u Šťávů;Bystrc;Brno;restaurace;
Hostinec U Tesaře;Štýřice;Brno;restaurace;
Hostinec U Votrubů;Ochoz u Brna;Ochoz u Brna;restaurace;
hotel Fontána;Kníníčky;Brno;restaurace;0
Hotel Gregor;Modřice;Brno;restaurace;
Hotel Morávka;Chrlice;Brno;restaurace;0
Hotel Myslivna;Kohoutovice;Brno;restaurace;
Hotel Royal Ricc;Střed;Brno;restaurace;
Hotel U Crlíků;Tetčice;Tetčice;restaurace;
Hotel Weiss;Znojmo;Znojmo;restaurace;0
Hotel-Rakovec;Bystrc;Brno;restaurace;0
Hradní vinárna Špilberk;Střed;Brno;restaurace;0
Hraniční zámeček - HOTEL;Hlohovec;Hlohovec;restaurace;
Chaloupka;Řečkovice;Brno;restaurace;
changed;Střed;Brno;restaurace;
Charlie´s Square;Střed;Brno;restaurace;
Charlie's pub;Střed;Brno;restaurace;
Charlie's street Grand Restaurant;Modřice;Brno;restaurace;
Chilli;Střed;Brno;restaurace;
Chutné štěstí;Střed;Brno;restaurace;
Il Mercato;Střed;Brno;restaurace;
INCAfé;Centrum;Brno;kavárna;
Indická Annapurna Restaurace;Střed;Brno;restaurace;
Indická restaurace GOA;Židenice;Brno;restaurace;
IRIS;Ivanovice;Brno;vinárna;
Iron Horse;Střed;Brno;restaurace;0
Italia bar;Střed;Brno;restaurace;
Izakaya Asahi;Centrum;Brno;bistro;
J.LOPEZ - club;Centrum;Brno;restaurace;
Jako doma;Střed města;Brno;restaurace;
Jakoby;Střed;Brno;restaurace;
Jantar;Střed;Brno;bar;
JARDIN - letní terasa;Střed;Brno;restaurace;0
Jazz Cafe Italian Bar;Střed;Brno;kavárna;
Jedna báseň;Centrum;Brno;restaurace;
Jedna báseň;Bohunice;Brno;restaurace;
Jednička;Bystrc;Brno;restaurace;
Jen Tak;Střed města;Brno;restaurace;
Jim Beam Bar;Brno;Brno;bar;
Jiný Prostor;Střed;Brno;restaurace;0
Junákova búda;Královo Pole;Brno;restaurace;
K Rudolfskému Návrší;Žabovřesky;Brno;pivnice;
K1 Pizzeria Steak House - Vinohrady;Vinohrady;Brno;restaurace;
K1 STEAK HOUSE;Židenice;Brno;restaurace;
K5 bar;Černá pole;Brno;restaurace;
Kabaret Špaček;Střed;Brno;restaurace;
Kafec;Centrum;Brno;kavárna;
KANAS TP Restaurant;Královo Pole;Brno;restaurace;
Kanibal;Brno;Brno;restaurace;
Kaple 09;Medlánky;Brno;restaurace;
Kaskáda;Štýřice;Brno;restaurace;
Kavárna a pekařství Zastávka;Židenice;Brno;kavárna;0
Kavárna Alfa;Střed města;Brno;kavárna;
kavárna cukrárna restaurant & pub;Kohoutovice;Brno;kavárna;0
Kavárna ERA;Černá pole;Brno;kavárna;
Kavárna hotelu Slavia;Střed;Brno;kavárna;
KAVÁRNA KLAFÉ;Brno;Brno;kavárna;
Kavárna Spolek;Centrum;Brno;kavárna;
kavárna Tulipán;Střed;Brno;kavárna;0
KAVKAZ RESTAURANT;Bohunice;Brno;restaurace;0
KEBAB plus - Döner kebab Brno;Střed;Brno;bistro;0
KEBAB SULTAN na Panské;Centrum;Brno;bufet;
Ki-Ki Restaurant;Kohoutovice;Brno;restaurace;
King's head restaurant;Střed;Brno;restaurace;
Klobáskový bar u Bohouše;Centrum;Brno;bufet;
Klub cestovatelů;Královo Pole;Brno;restaurace;
Klub cestovatelů;Královo Pole;Brno;restaurace;0
KODO Japonska Restaurace;Královo Pole;Brno;restaurace;
Kohout na víně;Střed;Brno;restaurace;
KOISHI;Střed;Brno;restaurace;
Kolibaba;Černá pole;Brno;restaurace;
Koločava;Střed;Brno;pivnice;0
Koločava - trochu jiná pivnice;Střed;Brno;pivnice;
Kometa Pub ARENA;Staré Brno;Brno;restaurace;
konfit restaurace;Veveří;Brno;restaurace;
konfit restaurant;Veveří;Brno;restaurace;0
Korzár;Žabovřesky;Brno;restaurace;
Kozák Hotel;Žabovřesky;Brno;restaurace;
Kozlovna u Badinů;Židenice;Brno;restaurace;
Královská cesta;Královo Pole;Brno;restaurace;
Království řízků;Střed;Brno;restaurace;
Krčma U Císařské Cesty;Branišovice;Branišovice;restaurace;
Kupé;Střed města;Brno;restaurace;
L´Eau Vive;Střed;Brno;restaurace;
La BOTTE;Královo Pole;Brno;pizzerie;
La Bouchée;Střed;Brno;restaurace;
La Corrida Restaurant;Bystrc;Brno;restaurace;
La Corrida Žabovřesky OC Perla;Žabovřesky;Brno;restaurace;
La FUFU;Střed;Brno;bistro;
La Guzza;Centrum;Brno;restaurace;
La Chapelle;Komárov;Brno;restaurace;
La Patas;Starý Lískovec;Brno;restaurace;
La Ponorka;Bystrc;Brno;pizzerie;
La Solitaire;Střed;Brno;kavárna;
La Strada , restaurant a pizzeria;Veveří;Brno;pizzerie;
La Swoya;Vinohrady;Brno;restaurace;
L'abbuffata - Restaurant & Caffe bar;Centrum;Brno;restaurace;
Labyrint Club;Zábrdovice;Brno;restaurace;
Laguna;Střed;Brno;restaurace;
Las Pegas;Slatina;Brno;restaurace;
Last Cafe;Štýřice;Brno;kavárna;
Le Grand;Střed města;Brno;restaurace;
Legenda;Střed;Brno;restaurace;
Leone - restaurant/pizzeria;Střed;Brno;pizzerie;
Leonessa Ristorante Pizzeria;Centrum;Brno;pizzerie;
LEPORELO+ restaurant;Centrum;Brno;restaurace;
Letadlo;Bystrc;Brno;restaurace;
Liberty cafe;Střed města;Brno;kavárna;
Light of India;Střed města;Brno;restaurace;
Linden Restaurant - Pension;Ivanovice;Brno;restaurace;
Lískovecká terasa;Nový Lískovec;Brno;restaurace;
Livingstone;Centrum;Brno;bar;
Lobby bar OREA Hotelu Voroněž;Pisárky;Brno;kavárna;0
Lokál U Caipla;Centrum;Brno;restaurace;
Lokofu;Střed;Brno;restaurace;0
London Inn;Centrum;Brno;restaurace;
Low Cost BAR;Centrum;Brno;bar;0
Lucerna;Střed;Brno;restaurace;
Lucullus;Střed;Brno;restaurace;
Lužánka;Veveří;Brno;restaurace;
Maid Café;Královo Pole;Brno;kavárna;
Main restaurant;Střed;Brno;restaurace;
Malá Eliška;Černá pole;Brno;vinárna;
Maledivy club,Carpaccio bar;Centrum;Brno;restaurace;
Mamut Pub;Střed;Brno;pivnice;
Mariani;Židenice;Brno;pizzerie;0
MARIANI Ristorante Pizzeria;Juliánov;Brno;restaurace;
Marilyn Cafe;Střed města;Brno;kavárna;
MARINA restaurace - pizzerie;Kníníčky;Brno;restaurace;
MAXIM restaurant;Brno;Brno;restaurace;0
Mazaný anděl;Centrum;Brno;pivnice;
Merci restaurant;Brno;Brno;restaurace;
Merlin cafe;Židenice;Brno;restaurace;0
Metro Music Restaurant;Centrum;Brno;restaurace;
MFG bistro;Centrum;Brno;bistro;0
MIDWAY;Střed;Brno;restaurace;
Mike´s restaurant;Štýřice;Brno;restaurace;
MIKI RESTAURANT;Žabovřesky;Brno;restaurace;
Mikrofarma bistro;Střed;Brno;bistro;
Mimóza club;Brno;Brno;restaurace;0
Miniaturgolf - Sojka Petr;Lesná;Brno;bistro;
MINOR;Brno;Brno;kavárna;
Mitrovski;Staré Brno;Brno;restaurace;
Modra Ruze;Střed;Brno;restaurace;
MOMO Bar;Střed;Brno;restaurace;
Monâme - zámecká restaurace;Medlánky;Brno;restaurace;
Monte Bú Restaurant a steakhouse;Centrum;Brno;restaurace;
Montenegro Pub (U Prokopů);Veveří;Brno;restaurace;
Moravská chalupa - Pivnice s kuželnou;Pisárky;Brno;pivnice;
Moravská chalupa - Restaurant St. Urban;Pisárky;Brno;vinárna;
Motel Poddubí;Ondřejov;Ondřejov;restaurace;
Motorest60 Na Rozhraní;Rozhraní;Rozhraní;restaurace;0
MY FOOD Holandská;Brno;Brno;bistro;
MY FOOD Zelný trh;Centrum;Brno;bistro;
Na gruntě;Lesná;Brno;restaurace;
Na Chatě;Černá pole;Brno;restaurace;
Na Knoflíku;Centrum;Brno;pivnice;
Na Maničkách;Žabovřesky;Brno;pivnice;
Na městečku;Veverská Bytýška;Veverská Bytýška;restaurace;
Na Purkyňce;Královo Pole;Brno;restaurace;
Na Růžku;Královo Pole;Brno;restaurace;0
Na Špici;Řečkovice;Brno;restaurace;
Na Švábce;Centrum;Brno;pivnice;
Na-tahu;Centrum;Brno;restaurace;0
Nefertiti;Střed;Brno;čajovna;
Nepal;Královo Pole;Brno;restaurace;
"New York ""Oesterreicherloch""";Střed;Brno;restaurace;
Ngoc Tháng Quán - vietnamské bistro;Slatina;Brno;bistro;
Noem Arch Restaurant;Královo Pole;Brno;restaurace;
NordSee;Střed;Brno;bufet;
Občerstvení Střela;Královo Pole;Brno;bistro;
Ochutnávková Pivnice;Centrum;Brno;restaurace;
Oldies Deja*vu;Střed;Brno;restaurace;
Olymp;Černá pole;Brno;restaurace;
ONYX;Centrum;Brno;restaurace;0
Orel - jednota Telnice;Tuřany;Brno;restaurace;
OTTOMAN TRUMPET;Střed;Brno;restaurace;0
P;Centrum;Brno;bar;
Padowetz;Střed;Brno;restaurace;
PadThai Restaurant;Královo Pole;Brno;restaurace;
PALADEO RESTAURANTE;Královo Pole;Brno;restaurace;
Panoptikum Beer Restaurant;Centrum;Brno;restaurace;
Panská lícha;Lesná;Brno;restaurace;
Park Lane Cafe;Černá pole;Brno;kavárna;
Parkhotel;Pisárky;Brno;restaurace;
PARNAS Caffe;Centrum;Brno;kavárna;
Pavillon Restaurant;Centrum;Brno;restaurace;
Pegas;Střed;Brno;pivnice;
PEGAS Jiráskova;Střed;Brno;pivnice;
Pellegrini;Střed;Brno;kavárna;
Pellini;Střed;Brno;kavárna;
Penzion Anitka;Ivanovice;Brno;restaurace;
Penzion Marie;Bystrc;Brno;restaurace;0
Petit Belveder;Centrum;Brno;restaurace;0
Pivní bar Marley;Žabovřesky;Brno;restaurace;0
Pivní bar U Suka;Královo Pole;Brno;pivnice;
Pivní burza;Střed;Brno;pivnice;
Pivní dveře;Veveří;Brno;pivnice;
Pivní Opice;Střed;Brno;restaurace;
Pivní restaurant Sladovna;Střed;Brno;pivnice;
PIVNICE NA JUNGMANCE;Královo Pole;Brno;pivnice;0
Pivnice U Čápa;Centrum;Brno;pivnice;
Pivnice U SAMA;Bystrc;Brno;pivnice;0
Pivovarská Restaurace Starobrno;Střed;Brno;restaurace;
Pizza bar Těsně vedle Brno;Brno;Brno;pizzerie;0
