Název;Čtvrť;Město;Charakter;Hodnocení
Pizza Coloseum;Střed;Brno;restaurace;
Pizza GRAND PRIX rozvoz;Staré Brno;Brno;restaurace;0
Pizza Hamm;Brno;Brno;pizzerie;0
Pizza Kanas;Kuřim;Kuřim;pizzerie;
Pizza Toscana;Černá pole;Brno;pizzerie;
Pizza u Honzy;Zábrdovice;Brno;bistro;0
PIZZA ZAKKI;Střed;Brno;pizzerie;
Pizzaland;Maloměřice;Brno;restaurace;
Pizzan Restaurant;Střed;Brno;pizzerie;
Pizzeria - Ristorante Gazebo;Černá pole;Brno;restaurace;
Pizzeria Amigo;Komín;Brno;pizzerie;0
Pizzeria Árčí;Nový Lískovec;Brno;pizzerie;
Pizzeria Borgia;Královo Pole;Brno;pizzerie;
Pizzeria Da Buffi;Komín;Brno;pizzerie;
Pizzeria Di Gusto;Líšeň;Brno;pizzerie;
Pizzeria Kogo;Dolní Heršpice;Brno;pizzerie;
Pizzeria La Gamba;Lesná;Brno;pizzerie;
Pizzeria La Rossa;Brno;Brno;pizzerie;
Pizzeria Molino Ristorante;Královo Pole;Brno;pizzerie;
Pizzeria Primavera;Řečkovice;Brno;pizzerie;
pizzeria ristorante AL CAPONE;Královo Pole;Brno;pizzerie;
Pizzerie Brevi Manu;Černá pole;Brno;restaurace;
Pizzerie Issima;Královo Pole;Brno;bufet;
Pizzerie LaPeda;Brno;Brno;pizzerie;
Pizzerie Mediterrane;Střed;Brno;pizzerie;
Pizzerie Morava;Brno;Brno;pizzerie;0
Pizzerie Paradiso;Střed;Brno;restaurace;
Pizzerie Peperone;Náměšť nad Oslavou;Náměšť nad Oslavou;pizzerie;
Pizzerie selská;Maloměřice;Brno;pizzerie;0
Pizzerie Sukulent;Střed;Brno;pizzerie;
Pizzerie Tyrkys;Žabovřesky;Brno;pizzerie;
Pizzerie Va Bene;Žabovřesky;Brno;pizzerie;
pizzerie VIVA;Žabovřesky;Brno;pizzerie;0
Plameňák;Střed;Brno;restaurace;
Plzeňská pivnice na radnici;Líšeň;Brno;restaurace;0
Pod ořechy;Židenice;Brno;pivnice;
Pod Radničním Kolem;Střed;Brno;vinárna;
Pod Špilberkem;Centrum;Brno;restaurace;
Pohádková hospůdka;Královo Pole;Brno;restaurace;
Pohostinství na Jílkové;Židenice;Brno;restaurace;
point;Černá pole;Brno;bar;
POINT restaurant;Husovice;Brno;restaurace;
Pojd na kafe;Centrum;Brno;kavárna;
Polévkárna pod schody;Černá pole;Brno;bistro;0
PONTOS;Brno;Brno;restaurace;
Porta da Terra;Modřice;Modřice;restaurace;
Potrefená husa;Střed;Brno;restaurace;
Potrefená Husa;Střed;Brno;restaurace;
Potrefená husa;Líšeň;Brno;restaurace;0
Potrefená husa;Líšeň;Brno;restaurace;
Prígl Pub;Bystrc;Brno;restaurace;
Probe centrum;Vinohrady;Brno;restaurace;
Prominent;Staré Brno;Brno;restaurace;
Přehradní krčma;Bystrc;Brno;restaurace;0
Pub Loď Veveří;Bystrc;Brno;restaurace;0
PUXpub;Střed;Brno;restaurace;
Quán Viet;Centrum;Brno;restaurace;
QUANVIET;Centrum;Brno;restaurace;0
Ratejna Music Restaurant;Střed města;Brno;restaurace;0
Rebio;Střed;Brno;restaurace;
Reduta Café Restaurant;Centrum;Brno;restaurace;
Redwall Café;Židenice;Brno;kavárna;
Remix;Střed;Brno;bar;
Rendez - vous;Střed;Brno;kavárna;
restaurace;Střed;Brno;restaurace;0
Restaurace Dukát;Lesná;Brno;restaurace;
Restaurace a hotel U kašny;Rajhrad;Rajhrad;restaurace;
Restaurace a penzion Gallus;Vranov u Brna;Vranov;restaurace;
Restaurace a penzion U kocoura;Maloměřice;Brno;restaurace;0
Restaurace a pivnice U Zlaté Konve;Veveří;Brno;pivnice;0
Restaurace Áčko;Střed;Brno;restaurace;
Restaurace Atrium OREA Hotelu Voroněž;Pisárky;Brno;restaurace;
Restaurace Belcredi;Líšeň;Brno;restaurace;
Restaurace Betlém;Černá pole;Brno;restaurace;
Restaurace Borgeska;Královo Pole;Brno;restaurace;
Restaurace Brno- chrlice;Chrlice;Brno;restaurace;
Restaurace Corner;Černá pole;Brno;restaurace;0
Restaurace Dělnický Dům;Židenice;Brno;restaurace;
Restaurace Divá Bára;Střed;Brno;restaurace;
Restaurace DTJ Garda;Starý Lískovec;Brno;restaurace;
Restaurace Farma - Obřany;Brno;Brno;restaurace;
Restaurace Flora;Střed;Brno;restaurace;
Restaurace Formanka;Lipůvka;Lipůvka;restaurace;
Restaurace Formanka;Střed;Brno;restaurace;
Restaurace HNÍZDO;Slatina;Brno;restaurace;0
Restaurace Hvězda;Bystrc;Brno;restaurace;0
Restaurace Jasmín;Líšeň;Brno;restaurace;0
Restaurace Kaverna;Střed;Brno;restaurace;
Restaurace Kavkaz;Bohunice;Brno;pivnice;
Restaurace LEGUANA;Bohunice;Brno;restaurace;0
Restaurace Líšeňský pivovar;Líšeň;Brno;pivnice;
Restaurace Lloyd´s;Královo Pole;Brno;restaurace;
Restaurace Mikulášek;Husovice;Brno;restaurace;
Restaurace Na Devadesátce;Královo Pole;Brno;restaurace;0
Restaurace Na Dolnici;Řečkovice;Brno;restaurace;
Restaurace Na Statku;Božtěšice;Ústí nad Labem;restaurace;
Restaurace Na Vyhlídce aneb u Černé báby;Lesná;Brno;restaurace;
Restaurace Nautilus;Hodonín;Hodonín;restaurace;
Restaurace Okruh;Nový Lískovec;Brno;restaurace;
Restaurace Palazzo;Centrum;Brno;restaurace;
Restaurace Pastouška;Židenice;Brno;restaurace;0
Restaurace PEKANDA;Střed;Brno;restaurace;
Restaurace Plameňák;Bystrc;Brno;restaurace;0
Restaurace Plzeňka;Centrum;Brno;restaurace;
Restaurace Plzeňský dvůr;Královo Pole;Brno;restaurace;
Restaurace Pohoda;Veveří;Brno;restaurace;
Restaurace Portum;Kníníčky;Brno;restaurace;
Restaurace Přístav U Vodů;Bystrc;Brno;restaurace;
Restaurace Racek;Královo Pole;Brno;restaurace;
Restaurace Rozsocháč;Rosice;Rosice;restaurace;
Restaurace Rustical;Štýřice;Brno;restaurace;
Restaurace Sklípek;Střed;Brno;restaurace;0
Restaurace Stará Pošta;Kovalovice;Kovalovice;restaurace;
Restaurace Špalíček;Střed města;Brno;restaurace;
Restaurace Tanganika;Žabovřesky;Brno;restaurace;0
Restaurace Tatra;Královo Pole;Brno;pivnice;0
Restaurace Terasa;Komárov;Brno;restaurace;
Restaurace Tišnovská Rychta;Tišnov;Tišnov;restaurace;
Restaurace Tropicana;Černá pole;Brno;restaurace;
Restaurace Tukan;Řečkovice;Brno;restaurace;
Restaurace U Honzáků;Chrlice;Brno;restaurace;
Restaurace U Klímů;Vranov u Brna;Vranov;restaurace;
Restaurace U raka;Líšeň;Brno;restaurace;0
Restaurace Union;Štýřice;Brno;restaurace;
Restaurace v lužáneckém parku, areálu tenisového klubu TC MJ-BLTC BRNO;Černá pole;Brno;restaurace;
Restaurace Velorex;Královo Pole;Brno;restaurace;
Restaurace Veselá 2;Centrum;Brno;restaurace;
Restaurace Wellington Cafe;Řečkovice;Brno;restaurace;
Restaurace Za kapličkou;Žabovřesky;Brno;restaurace;
Restaurace/Pizzerie LORIA;Tišnov;Tišnov;pizzerie;0
Restaurant A LA CARTE - OREA Hotel Voroněž;Pisárky;Brno;restaurace;
Restaurant Anena;Střed;Brno;restaurace;0
Restaurant Bueno Farma;Černá pole;Brno;restaurace;
Restaurant Cadentes;Kuřim;Kuřim;restaurace;0
Restaurant císaře Leopolda;Střed;Brno;restaurace;
Restaurant Garden;Chrlice;Brno;restaurace;
Restaurant Gourmand;Střed;Brno;restaurace;
Restaurant hotel Slávia;Centrum;Brno;restaurace;
Restaurant Nebeský mlýn;Královo Pole;Brno;restaurace;
Restaurant pub U Dudáka;Vinohrady;Brno;restaurace;
Restaurant U Rudého vola;Centrum;Brno;restaurace;
Restaurant Viktoria;Komárov;Brno;restaurace;
Restaurant Welcome;Královo Pole;Brno;restaurace;
Retro - mňamky naší mamky;Střed;Brno;restaurace;0
Retro Consistorium Restobar;Centrum;Brno;restaurace;
Ricciano;Střed;Brno;pizzerie;
Rio, restaurante brasileiro;Černá pole;Brno;restaurace;
Risto Pizza Pub Tusto;Staré Brno;Brno;pizzerie;
Ristorante a Pizzeria Arca di Adria;Střed;Brno;restaurace;
Ristorante Giardino;Černá pole;Brno;restaurace;0
Ristorante Piazza;Střed;Brno;restaurace;
Ristorante Piccolo Mondo;Střed;Brno;restaurace;
Ristorante RIALTO;Žabovřesky;Brno;restaurace;
Ristorante ROMA;Střed;Brno;restaurace;
Ristorante, pizzeria Lucresia;Střed;Brno;pizzerie;
Robin Hood;Střed;Brno;restaurace;
Rockin;Střed;Brno;bar;0
RockStar Café;Tišnov;Tišnov;restaurace;
Rodeo Drive;Střed;Brno;restaurace;
Rosnička;Žabovřesky;Brno;restaurace;
Rotor-bar;Centrum;Brno;bar;0
Royal Club;Střed;Brno;restaurace;
"RUBEN""S RESTAURANT";Maloměřice;Brno;restaurace;0
Rubín Restaurant;Žabovřesky;Brno;restaurace;
Růžová slepička;Centrum;Brno;bistro;
Rybí bistro RYBENKA;Centrum;Brno;bistro;
Rynk;Centrum;Brno;restaurace;
Rytířská krčma;Centrum;Brno;restaurace;
Sabaidy1 - Lao Thai Restaurant;Střed;Brno;restaurace;
Salon Daguerre - obskurní bar;Střed;Brno;bar;0
SAMOVAR - Ruská restaurace;Centrum;Brno;restaurace;
Sandonoriko;Židenice;Brno;restaurace;
Sapanel;Žabovřesky;Brno;restaurace;
Satyam Indian Fast food;Královo Pole;Brno;bistro;0
Satyam Indian Restaurant;Střed;Brno;restaurace;
SAVARIN RESTAURANT;Střed;Brno;restaurace;
Sborovna;Střed;Brno;restaurace;
Sega Fredo;Střed;Brno;kavárna;
SegaPro;Střed;Brno;bistro;
Semilasso;Královo Pole;Brno;restaurace;
Severka;Královo Pole;Brno;restaurace;
Shanghai;Střed;Brno;restaurace;
Sharingham;Střed;Brno;restaurace;
Sherlock Holmes Pub;Střed;Brno;restaurace;
Sherwood;Vinohrady;Brno;restaurace;
Schnitzel House;Centrum;Brno;restaurace;0
Siam Thai;Střed;Brno;restaurace;0
Siesta Lobby & Wine Restaurant;Staré Brno;Brno;restaurace;
Silmaril;Bohunice;Brno;restaurace;
Simplé;Centrum;Brno;restaurace;
Sitara;Královo Pole;Brno;bistro;
Skanzeen;Střed;Brno;restaurace;
Sklep;Veveří;Brno;pivnice;0
Sklípeček;Střed;Brno;vinárna;
Sluneční dvůr;Slatina;Brno;restaurace;
Smaltovna pub;Medlánky;Brno;pivnice;
Snack bar Lila;Střed;Brno;restaurace;
snack bar Trio;Černá pole;Brno;bar;0
SOHO CAFFÉ;Modřice;Brno;kavárna;
SONÁTA;Centrum;Brno;restaurace;
SONÁTA - RESTAURACE, KAVÁRNA;Střed;Brno;restaurace;0
Spielberk café;Štýřice;Brno;kavárna;
Spirit Bar;Střed města;Brno;bar;
Sport bar ARENA;Střed;Brno;bar;
Sportbar Pardál;Slatina;Brno;bar;0
Správné místo;Královo Pole;Brno;restaurace;
Stáj;Střed;Brno;pivnice;0
Starobrněnská pivnice na Divadelní;Centrum;Brno;pivnice;
Starobrněnský/Slatinský šenk;Slatina;Brno;pivnice;
STAVBA restaurace;Veveří;Brno;restaurace;
STEAK HOUSE HIGHLANDER;Střed;Brno;restaurace;
Steak House Jack;Veveří;Brno;restaurace;0
Steak Pub Jack;Komín;Brno;restaurace;0
Steakový a pivní bar Pod lékárnou;Střed;Brno;pivnice;
Stern Original Restaurant;Centrum;Brno;restaurace;
Stopkova Plzeňská Pivnice;Střed;Brno;pivnice;
Stratosfera restaurant M- Palác Brno;Štýřice;Brno;restaurace;0
Stronghold;Medlánky;Brno;restaurace;
Středověká krčma;Střed;Brno;restaurace;
SUNSET RESTAURANT;Střed;Brno;restaurace;
Sunset Restaurant - kvalitní restaurace Brno;Zábrdovice;Brno;restaurace;0
Super Panda Circus;Centrum;Brno;bar;
Surda's Curry Bar;Centrum;Brno;restaurace;0
SUSHI Noodles;Modřice;Brno;restaurace;
Sushi Point Olympia Brno;Modřice;Modřice;restaurace;
SUSHI YA;Střed;Brno;restaurace;
Suzie's Pizzerie & Restaurant;Veveří;Brno;pizzerie;
Svatovavřinecký dvůr;Řečkovice;Brno;restaurace;
Svitavská rychta;Židenice;Brno;restaurace;
Szeged;Střed;Brno;restaurace;
Šelepova No. 1 - ŠELEPKA;Královo Pole;Brno;restaurace;
Šenk u Kalicha;Brno;Brno;vinárna;
Šermířský Klub L. A. G.;Centrum;Brno;restaurace;
Šnyt Pálavanka (aka Lobkowicz pub);Vinohrady;Brno;pivnice;
Špargl;Veveří;Brno;bufet;
Špilberk Food Festival;Střed;Brno;restaurace;
Švejk Restaurant & Pension;Bohunice;Brno;restaurace;0
Taiwan Bento;Centrum;Brno;restaurace;
TANKOVNA;Brno;Brno;restaurace;
Taverna Athena;Královo Pole;Brno;restaurace;
Taverna John Silver;Lesná;Brno;restaurace;
terasa;Komárov;Brno;restaurace;0
Thalie;Centrum;Brno;restaurace;
The Immigrant Pub;Centrum;Brno;pivnice;
The Pub;Centrum;Brno;pivnice;
TIME OUT restaurace a bar;Řečkovice;Brno;restaurace;
TIMGAD Restaurant;Střed;Brno;restaurace;0
TINTO;Veveří;Brno;restaurace;
Tivoli cafe;Brno;Brno;restaurace;
TO PRAVÉ OŘECHOVÉ;Černá pole;Brno;bar;0
TokoRi;Střed;Vídeň;bufet;
Tomato Fresh Restaurant;Černá pole;Brno;restaurace;
Topas club;Žabovřesky;Brno;restaurace;
Tora;Centrum;Brno;restaurace;
Tortuga;Střed;Brno;restaurace;
Tramin;Střed;Brno;vinárna;
Transistor - Long Distance Bar;Brno;Brno;bar;
Trapas bar;Střed města;Brno;bar;
Triniti;Střed;Brno;restaurace;
Trio Snack Bar;Černá pole;Brno;bar;0
Tripoli Restaurant;Střed;Brno;restaurace;
TRYZUB;Střed;Brno;restaurace;
Tukan London Restaurant;Řečkovice;Brno;restaurace;
Tulip Restaurant;Střed;Brno;restaurace;
TWO COWBOYS’ PUB WESTERN STEAK HOUSE;Střed;Brno;restaurace;
u 3 opic;Královo Pole;Brno;restaurace;0
U 3 OPIC Pub & Restaurant;Královo Pole;Brno;restaurace;
U Abána;Starý Lískovec;Brno;restaurace;
U baláků;Královo Pole;Brno;restaurace;
U Bílého beránka;Střed;Brno;restaurace;
U Bílého koníčka;Střed;Brno;pivnice;
U Boba;Střed města;Brno;restaurace;
U Čáliho;Černá pole;Brno;restaurace;0
U Dobré kozy;Královo Pole;Brno;restaurace;0
U DOBRÉHO PASTÝŘE;Veveří;Brno;bistro;
U Draka;Střed;Brno;restaurace;
U Draka (Brno - ul. Veveří);Střed;Brno;restaurace;
U Dreveneho Orla;Centrum;Brno;restaurace;
U Dřeváka Beer&Grill;Střed;Brno;restaurace;0
U Emila;Centrum;Brno;restaurace;
U Fidela;Líšeň;Brno;pivnice;
U Gazdů;Přítluky;Přítluky;restaurace;0
U Hejmalů;Královo Pole;Brno;pivnice;
U Heligonky;Zábrdovice;Brno;restaurace;
U Hodného pastýře;Vinohrady;Brno;restaurace;
U hodnýho psa;Královo Pole;Brno;restaurace;
U hodnýho psa.;Královo Pole;Brno;restaurace;
U hovězího pupku;Centrum;Brno;restaurace;
U Chluparů;Střed;Brno;restaurace;
U Indiána (Indoš);Juliánov;Brno;restaurace;
U Jeníka;Střed;Brno;restaurace;
U Jiřího;Blansko;Blansko;restaurace;
U JOŠTA;Centrum;Brno;restaurace;
U Kamenné panny;Střed města;Brno;restaurace;0
U Karla;Centrum;Brno;restaurace;
U kormidla;Střed;Brno;restaurace;
U Kosa;Komín;Brno;restaurace;
U Krále Jířího;Černá pole;Brno;pivnice;
U KŘIVÉ VRTULE;Medlánky;Brno;restaurace;
U Kyršů;Žabovřesky;Brno;restaurace;0
U lasa;Černá pole;Brno;restaurace;
U Lucerny, restaurace;Střed;Brno;restaurace;
U Malchrů;Židenice;Brno;restaurace;
U Maníka;Řečkovice;Brno;restaurace;0
U měděné pánve;Centrum;Brno;restaurace;
U Mlsné kozy;Střed města;Brno;restaurace;
U Mocnáře;Komín;Brno;restaurace;
U Nudle;Starý Lískovec;Brno;restaurace;
U OSLŮ;Veveří;Brno;restaurace;
U Pandura;Střed;Brno;restaurace;
U Pantátů;Juliánov;Brno;restaurace;
U Patriotů;Královo Pole;Brno;restaurace;
U Pavouka;Husovice;Brno;restaurace;
U pece;Silůvky;Silůvky;restaurace;
U Plaza;Královo Pole;Brno;restaurace;
U Primů;Žabovřesky;Brno;pivnice;
U průmyslovky;Veveří;Brno;restaurace;
U raka;Líšeň;Brno;restaurace;
U Richarda;Žebětín;Brno;pivnice;
U Richarda;Střed;Brno;pivnice;
U Richarda (na Údolní);Centrum;Brno;restaurace;
U Růžového pantera;Husovice;Brno;restaurace;
U Rytíře, ...pivní a vinný bar;Střed města;Brno;bar;
U Septima;Střed;Brno;restaurace;
U Soba;Komín;Brno;restaurace;
U Starýho Billa;Střed;Brno;restaurace;
U supa;Soběšice;Brno;restaurace;
U Svatého Václava;Královo Pole;Brno;restaurace;
U štiky;Černá pole;Brno;restaurace;
U Štíra;Bystrc;Brno;restaurace;
U Šuláka;Bystrc;Brno;restaurace;
U Tančícího hrocha;Střed;Brno;restaurace;
U Tomana;Střed;Brno;restaurace;0
U Trávníčka;Modřice;Modřice;restaurace;
U třech Čertů - krčma;Centrum;Brno;pivnice;
U včely;Černá pole;Brno;restaurace;0
U všech čertů;Královo Pole;Brno;restaurace;
U Zlatého Meče;Střed města;Brno;restaurace;
Umami;Střed města;Brno;restaurace;0
V Club;Veveří;Brno;restaurace;
V melounovém cukru;Střed města;Brno;kavárna;
V práci;Královo Pole;Brno;restaurace;
V.I.P. restaurant;Střed;Brno;restaurace;
Valaška;Královo Pole;Brno;restaurace;
Valhalla;Střed;Brno;restaurace;
Valoria;Horní Heršpice;Brno;restaurace;
Varna bar a restaurant;Střed;Brno;restaurace;
VELKÁ KLAJDOVKA;Líšeň;Brno;restaurace;
Veselá kavárna;Řečkovice;Brno;kavárna;0
Veselá vačice;Střed;Brno;restaurace;
Vesmír;Střed;Brno;bufet;
Veteran car pivní a steakový restaurant;Bohunice;Brno;restaurace;
Vida - Moravian Science Centre - restaurace;Staré Brno;Brno;bufet;
Vídeňka Café;Štýřice;Brno;kavárna;
Vinárna Arka;Kníníčky;Brno;restaurace;
Vinný restaurant U Radnice;Vinohrady;Brno;restaurace;
Vinotéka MV61;Centrum;Brno;vinárna;0
Vinotéka Perly vín z Jižní Moravy;Střed;Brno;vinárna;0
Vinotéka U MERCI;Střed;Brno;vinárna;
Vinotéka U šohajíčka;Střed;Brno;vinárna;0
Vista Hotel;Medlánky;Brno;restaurace;
Vitalité zdravý restaurant;Střed;Brno;bufet;
Vivobene Gusto;Střed;Brno;bistro;
Vulcano;Bohunice;Brno;restaurace;
Výčep Na stojáka;Střed;Brno;pivnice;
Výčep Na stojáka;Střed města;Brno;pivnice;
Výletní Hospoda Princezna;Bystrc;Brno;restaurace;
Výletní restaurace U LVA;Kníníčky;Brno;restaurace;
Výtopna;Střed;Brno;restaurace;
Wang running sushi;Střed;Brno;restaurace;
Wayland club;Pisárky;Brno;restaurace;0
Westminster;Bosonohy;Brno;restaurace;
Whiskey bar;Střed;Brno;bar;
Whisky Bar Valevil;Centrum;Brno;bar;
x;centrum;Vídeň;restaurace;
Yucatan;Žabovřesky;Brno;pivnice;0
Za sedmero;Útěchov;Brno;restaurace;
Zannam restaurant;Maloměřice;Brno;restaurace;
Zappadlo bar restaurant;Královo Pole;Brno;restaurace;
Zbojnická izba;Střed;Brno;restaurace;0
Zelená kočka;Královo Pole;Brno;restaurace;
Zelená kočka - Dalešický pivovarský restaurant;Centrum;Brno;restaurace;
Zelená Kočka Pivárium;Centrum;Brno;pivnice;
Zemský Dům;Střed;Brno;restaurace;
Zlatá loď;Centrum;Brno;restaurace;
Zlatá miska;Střed;Brno;restaurace;
Zlatá muška;Střed;Brno;restaurace;
Zlatá veverka;Střed;Brno;restaurace;
Zlaty Orel;Střed;Brno;bistro;
Zorbas;Brno;Brno;restaurace;
Žebětínský dvůr;Žebětín;Brno;restaurace;
Železná Růže;Střed;Brno;pivnice;
